date,open,close,high,low,volume,amount,amplitude_pct,change_pct,change,turnover_pct
2025-05-26,14510,14400,14545,14275,441554,63470265088,1.83,-2.24,-330,0.00
2025-05-27,14465,14495,14530,14350,305548,44106489088,1.25,0.87,125,0.00
2025-05-28,14500,13805,14500,13755,627657,88320634880,5.16,-4.36,-630,0.00
2025-05-29,13805,13880,13970,13725,439838,60876458240,1.74,-1.35,-190,0.00
2025-05-30,13875,13405,13880,13400,568468,77407440896,3.47,-3.14,-435,0.00
2025-06-03,13400,13450,13635,13325,381690,51410260480,2.28,-1.21,-165,0.00
2025-06-04,13480,13655,13700,13295,529078,71270068224,3.01,1.41,190,0.00
2025-06-05,13620,13545,13655,13470,393799,53384713728,1.37,0.56,75,0.00
2025-06-06,13585,13650,13800,13545,421243,57701722368,1.88,0.70,95,0.00
2025-06-09,13615,13725,13725,13570,352642,48103207168,1.13,0.22,30,0.00
2025-06-10,13750,13805,13895,13650,376733,51911322880,1.80,1.21,165,0.00
2025-06-11,13845,13890,13950,13745,293414,40602996992,1.49,0.83,115,0.00
2025-06-12,13895,13585,13905,13565,376608,51875488256,2.46,-1.81,-250,0.00
2025-06-13,13585,13875,14000,13565,505544,69857378304,3.16,0.76,105,0.00
2025-06-16,13870,13910,13955,13705,405243,56051858688,1.81,0.69,95,0.00
2025-06-17,13885,13870,13930,13780,272689,37786515968,1.08,0.29,40,0.00
2025-06-18,13895,14010,14085,13870,348272,48768100864,1.55,1.12,155,0.00
2025-06-19,14045,14030,14100,13930,292773,41019084288,1.21,0.21,30,0.00
2025-06-20,14005,13900,14080,13850,389546,54344231680,1.64,-0.79,-110,0.00
2025-06-23,13880,13950,14030,13750,425943,59157473536,2.01,0.00,0,0.00
2025-06-24,13905,13665,13920,13640,434966,59932602112,2.02,-1.58,-220,0.00
2025-06-25,13695,13770,13815,13670,261733,35993773312,1.05,-0.04,-5,0.00
2025-06-26,13750,14040,14060,13700,367390,51013750016,2.62,2.11,290,0.00
2025-06-27,14030,14045,14165,13970,339351,47662887168,1.40,1.15,160,0.00
2025-06-30,14040,13985,14080,13925,241709,33863973376,1.10,-0.43,-60,0.00
2025-07-01,13965,14095,14100,13900,275899,38564131072,1.43,0.61,85,0.00
2025-07-02,14085,14125,14185,14015,294565,41513299200,1.22,1.07,150,0.00
2025-07-03,14125,14015,14180,13925,278581,39156427264,1.81,-0.53,-75,0.00
2025-07-04,14020,14005,14145,13995,292869,41223487232,1.07,-0.36,-50,0.00
2025-07-07,14005,13970,14015,13855,302656,42180036864,1.14,-0.75,-105,0.00
2025-07-08,13975,13985,14080,13905,251466,35189556992,1.26,0.36,50,0.00
2025-07-09,13995,14045,14065,13930,256518,35937483264,0.96,0.39,55,0.00
2025-07-10,14030,14405,14435,13970,389700,55503653376,3.32,2.86,400,0.00
2025-07-11,14385,14360,14450,14320,227508,32733339136,0.91,0.84,120,0.00
2025-07-14,14340,14360,14380,14225,233715,33437025280,1.08,-0.17,-25,0.00
