symbol,trade_date,probe_index,sequence_label,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,big_rise_20d,big_rise_40d,monster_60d,fail_20d,deep_fail_20d,days_to_up_15,days_to_up_20,days_to_up_30,days_to_down_8,days_to_down_15
sz000785,2024-12-26,1,首次试盘,first_probe,0.3263770988650966,13.34853207048764,0.6190476190476194,-1.5789473684210464,5.44041450777204,2.849740932642497,5.3475935828877,0,1,1,0,0,27.0,28.0,29.0,3.0,11.0
sz000812,2024-10-31,1,首次试盘,first_probe,0.3450384282387004,18.698471562693467,0.6799999999999997,-0.6726457399103158,5.543237250554323,2.882483370288247,3.611738148984211,1,1,1,0,0,11.0,14.0,15.0,50.0,
sz000815,2024-10-17,1,首次试盘,first_probe,0.6871531465456935,13.820668778738598,0.6363636363636356,0.7882882882882747,4.856512141280356,3.642384105960272,3.0167597765363263,1,1,1,0,0,7.0,23.0,24.0,,
sz000816,2025-01-09,1,首次试盘,first_probe,0.4699605117163281,13.489965165941722,0.7058823529411774,-1.3559322033898311,5.723905723905731,4.377104377104368,3.7800687285223233,0,1,1,0,0,21.0,22.0,22.0,2.0,
sz000818,2025-02-12,1,首次试盘,first_probe,0.2803778931815923,16.608133442237037,0.7683615819209039,0.1478743068391796,6.533776301218164,4.466592838685868,1.5134736064968737,1,1,1,0,0,2.0,2.0,3.0,37.0,37.0
sz000826,2025-05-19,1,首次试盘,first_probe,0.2752621106486576,24.935098663811264,0.5555555555555545,1.1428571428571344,5.027932960893855,3.9106145251396778,3.3898305084745894,1,1,1,0,0,8.0,8.0,9.0,,
sz000880,2024-11-12,1,首次试盘,first_probe,0.2747141254726697,15.588912099504778,1.0166666666666664,1.1959521619135272,5.454545454545445,2.9090909090909056,-0.0909090909090859,1,1,1,0,0,3.0,3.0,4.0,,
sz000880,2025-02-20,2,重新试盘,retest_probe,0.692613744612898,23.244101270951056,0.6687500000000011,2.5099075297225992,6.872852233676974,6.443298969072164,2.27663230240549,1,1,1,0,0,2.0,2.0,3.0,,
sz000901,2025-11-12,1,首次试盘,first_probe,0.419775930713076,17.513029598736836,0.4285714285714285,-0.773195876288657,5.882352941176472,5.147058823529416,2.2337662337662323,1,1,1,0,0,18.0,19.0,19.0,4.0,
sz000903,2025-05-07,1,首次试盘,first_probe,0.5668067876538984,15.704947054103508,0.653846153846153,1.7391304347825989,7.365439093484416,4.815864022662897,3.1339031339031376,1,1,1,0,0,10.0,11.0,15.0,49.0,56.0
sz000908,2024-10-08,1,首次试盘,first_probe,0.6333109835296956,62.54201700219001,1.0,-4.985337243401755,5.555555555555536,3.0864197530864113,0.0,1,1,1,0,0,3.0,4.0,6.0,,
sz000935,2024-10-15,1,首次试盘,first_probe,0.4407664404250269,22.79173190511393,0.6704545454545441,2.2397891963109373,5.670103092783507,3.6082474226804,1.8685567010309432,1,1,1,0,0,2.0,2.0,6.0,55.0,58.0
sz000935,2025-11-11,2,重新试盘,retest_probe,0.2571287589143258,37.456474014433816,0.702479338842975,3.2940019665683495,5.759162303664911,3.2841504045692416,1.7134697762970053,1,1,1,0,0,19.0,27.0,42.0,,
sz000949,2025-09-09,3,重新试盘,retest_probe,0.382419455086575,33.54874109345026,0.8499999999999989,-0.2463054187192059,4.88997555012225,3.9119804400977953,1.728395061728394,1,1,1,0,0,16.0,37.0,38.0,,
sz000953,2025-01-15,2,重新试盘,retest_probe,0.3998989974524722,22.89221445285806,0.7586206896551715,0.3802281368821436,5.513307984790883,5.133079847908761,0.9469696969697016,0,0,1,0,0,46.0,47.0,48.0,43.0,53.0
sz000953,2025-05-15,3,重新试盘,retest_probe,0.2584620138884416,22.65146621346165,1.0,0.3169572107765583,6.16113744075828,4.423380726698256,0.0,1,1,1,0,0,5.0,5.0,9.0,,
sz000980,2024-09-05,1,首次试盘,first_probe,0.2804151062586254,20.35237519105208,0.8888888888888886,-0.6622516556291425,5.769230769230771,3.205128205128216,4.666666666666663,1,1,1,0,0,15.0,15.0,16.0,6.0,
sz000993,2025-08-11,1,首次试盘,first_probe,0.2821730590277906,14.67322839853493,0.6271186440677985,-1.6559337626494863,5.417814508723606,3.213957759412311,3.928905519176795,0,0,1,0,0,56.0,57.0,58.0,26.0,
sz000995,2024-11-01,1,首次试盘,first_probe,0.5443393982698911,16.900832443031163,0.4954954954954964,0.0,7.997118155619587,7.204610951008639,4.865649963689189,0,1,1,0,0,29.0,29.0,32.0,11.0,
sz001202,2025-10-28,1,首次试盘,first_probe,0.3966246027622925,22.792095783966605,0.832258064516128,-0.298864315600722,9.320505111244737,5.772699939867709,1.25899280575541,0,0,1,0,0,53.0,60.0,60.0,18.0,
sz001206,2025-05-07,1,首次试盘,first_probe,0.2572536338085544,19.79891735472051,1.0210526315789468,2.482073910645344,5.113024757804108,2.7448869752422,-0.1076426264800867,1,1,1,0,0,8.0,9.0,10.0,,
sz001208,2025-10-29,1,首次试盘,first_probe,0.2615908225022426,18.73260977534447,0.758064516129032,0.4979253112033177,5.012126111560233,2.9911075181891844,3.3856317093311272,0,1,1,0,0,31.0,32.0,32.0,17.0,
sz001225,2025-07-22,1,首次试盘,first_probe,0.3936447773050162,18.728508785388343,0.962825278810411,0.0,7.20986330742428,6.030554811042621,2.35294117647058,1,1,1,0,0,4.0,4.0,51.0,,
sz001226,2025-11-21,1,首次试盘,first_probe,0.5962196457481588,16.78949200068064,0.6029411764705886,-0.7727975270479082,10.59190031152648,7.606438213914846,4.205607476635498,1,1,1,0,0,16.0,34.0,42.0,,
sz001236,2025-04-01,1,首次试盘,first_probe,0.6103902093461876,18.529567323808056,0.599999999999999,0.4052684903748771,7.106598984771595,6.091370558375631,2.219979818365303,0,0,1,0,1,50.0,57.0,57.0,3.0,4.0
sz001236,2025-04-17,2,重新试盘,retest_probe,0.355857849860093,27.83442027159623,0.8139534883720927,-0.2403846153846145,5.149700598802398,4.191616766467066,1.566265060240957,1,1,1,0,0,14.0,16.0,35.0,,
sz001267,2024-10-21,1,首次试盘,first_probe,0.8070536683243963,13.562890668930416,0.5106382978723393,0.7181328545780907,8.348134991118993,5.861456483126104,4.456327985739761,1,1,1,0,0,6.0,7.0,8.0,,
sz001268,2025-06-25,1,首次试盘,first_probe,0.3358187132472409,14.143846675411416,0.4961240310077527,-0.3188521323236326,5.157936825269882,3.958416633346662,2.598960415833651,0,1,1,0,0,29.0,31.0,32.0,,
sz001269,2025-04-08,2,重新试盘,retest_probe,0.4258039770928464,20.69736898391289,1.0079999999999985,-9.941520467836265,6.243756243756238,3.94605394605394,-0.0499500499500427,1,1,1,0,0,3.0,4.0,56.0,1.0,
