source_id,business_source_name,metric,metric_label,window,horizon,bucket,bucket_label,threshold_low,threshold_high,day_n,candidate_n,avg_candidates_per_day,avg_mfe_5d_pct,avg_close_5d_pct,hit10_rate,hit15_rate,close_loss5_rate,stop8_rate,pitfall_rate,full5_rate,avg_mfe_10d_pct,avg_close_10d_pct,full10_rate,avg_mfe_22d_pct,avg_close_22d_pct,full22_rate
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,10,mid,中水位,26.005,49.0726,20,58,2.9,,,50.8333,37.5,45.0,54.1667,57.5,,13.939,-0.4986,73.3333,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,10,high,高水位,26.005,49.0726,23,67,2.913,,,53.6232,39.1304,31.1594,37.6811,40.5797,,15.0211,3.4329,100.0,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,22,low,低水位,26.005,49.0726,23,62,2.6957,,,47.8261,37.6812,46.3768,74.6377,74.6377,,,,,17.6478,1.9186,52.1739
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,22,mid,中水位,26.005,49.0726,20,58,2.9,,,60.8333,47.5,45.0,60.8333,64.1667,,,,,20.1275,0.8146,63.3333
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,22,high,高水位,26.005,49.0726,23,67,2.913,,,64.4928,57.2464,38.4058,60.8696,60.8696,,,,,21.9956,3.9408,91.3043
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,5,low,低水位,26.005,49.0726,4,5,1.25,3.5688,-3.9215,12.5,0.0,62.5,50.0,62.5,50.0,,,,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,5,mid,中水位,26.005,49.0726,5,6,1.2,6.646,-0.1418,10.0,0.0,30.0,30.0,50.0,100.0,,,,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,5,high,高水位,26.005,49.0726,2,2,1.0,4.7849,-5.1452,0.0,0.0,50.0,0.0,50.0,100.0,,,,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,10,low,低水位,26.005,49.0726,4,5,1.25,,,37.5,25.0,62.5,50.0,62.5,,7.0227,-4.7048,50.0,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,10,mid,中水位,26.005,49.0726,5,6,1.2,,,30.0,20.0,60.0,50.0,80.0,,10.5101,-3.1051,60.0,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,10,high,高水位,26.005,49.0726,2,2,1.0,,,0.0,0.0,50.0,100.0,100.0,,5.6116,-4.3907,100.0,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,22,low,低水位,26.005,49.0726,4,5,1.25,,,37.5,25.0,62.5,50.0,62.5,,,,,7.0227,-10.2855,0.0
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,22,mid,中水位,26.005,49.0726,5,6,1.2,,,30.0,20.0,80.0,50.0,80.0,,,,,10.5101,-15.0243,20.0
